"Tabela 6579 - População residente estimada"
"Município","Ano","Variável"
"Município","Ano","População residente estimada (Pessoas)"
"Paraibano (MA)","2018","21290"
"Parnarama (MA)","2018","34805"
"Passagem Franca (MA)","2018","18898"
"Pastos Bons (MA)","2018","19358"
"Paulino Neves (MA)","2018","15901"
"Paulo Ramos (MA)","2018","21015"
"Pedreiras (MA)","2018","39267"
"Pedro do Rosário (MA)","2018","24930"
"Penalva (MA)","2018","38203"
"Peri Mirim (MA)","2018","14291"
"Peritoró (MA)","2018","23025"
"Pindaré-Mirim (MA)","2018","32815"
"Pinheiro (MA)","2018","82990"
"Pio XII (MA)","2018","21594"
"Pirapemas (MA)","2018","18527"
"Poção de Pedras (MA)","2018","18157"
"Porto Franco (MA)","2018","23675"
"Porto Rico do Maranhão (MA)","2018","5995"
"Presidente Dutra (MA)","2018","47567"
"Presidente Juscelino (MA)","2018","12629"
"Presidente Médici (MA)","2018","6959"
"Presidente Sarney (MA)","2018","18764"
"Presidente Vargas (MA)","2018","11124"
"Primeira Cruz (MA)","2018","15197"
"Raposa (MA)","2018","30337"
"Riachão (MA)","2018","20243"
"Ribamar Fiquene (MA)","2018","7755"
"Rosário (MA)","2018","42482"
"Sambaíba (MA)","2018","5663"
"Santa Filomena do Maranhão (MA)","2018","7719"
"Santa Helena (MA)","2018","41770"
"Santa Inês (MA)","2018","88590"
"Santa Luzia (MA)","2018","72440"
"Santa Luzia do Paruá (MA)","2018","25134"
"Santa Quitéria do Maranhão (MA)","2018","25519"
"Santa Rita (MA)","2018","37404"
"Santana do Maranhão (MA)","2018","13223"
"Santo Amaro do Maranhão (MA)","2018","15654"
"Santo Antônio dos Lopes (MA)","2018","14534"
"São Benedito do Rio Preto (MA)","2018","18608"
"São Bento (MA)","2018","44811"
"São Bernardo (MA)","2018","28343"
"São Domingos do Azeitão (MA)","2018","7363"
"São Domingos do Maranhão (MA)","2018","34368"
"São Félix de Balsas (MA)","2018","4609"
"São Francisco do Brejão (MA)","2018","11652"
"São Francisco do Maranhão (MA)","2018","12201"
"São João Batista (MA)","2018","20629"
"São João do Carú (MA)","2018","15828"
"São João do Paraíso (MA)","2018","11162"
"São João do Soter (MA)","2018","18438"
"São João dos Patos (MA)","2018","25860"
"São José de Ribamar (MA)","2018","176321"
"São José dos Basílios (MA)","2018","7642"
"São Luís (MA)","2018","1094667"
"São Luís Gonzaga do Maranhão (MA)","2018","18988"
"São Mateus do Maranhão (MA)","2018","41350"
"São Pedro da Água Branca (MA)","2018","12645"
"São Pedro dos Crentes (MA)","2018","4651"
"São Raimundo das Mangabeiras (MA)","2018","18755"
"São Raimundo do Doca Bezerra (MA)","2018","5345"
"São Roberto (MA)","2018","6649"
"São Vicente Ferrer (MA)","2018","22142"
"Satubinha (MA)","2018","13730"
"Senador Alexandre Costa (MA)","2018","11067"
"Senador La Rocque (MA)","2018","14367"
