"Tabela 2030 - Pessoas de 10 anos ou mais de idade, por classes de rendimento nominal mensal - Resultados Gerais da Amostra"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Município","Ano","Classes de rendimento nominal mensal"
"Município","Ano","Total","Até 1 salário mínimo","Mais de 1 a 2 salários mínimos","Mais de 2 a 3 salários mínimos","Mais de 3 a 5 salários mínimos","Mais de 5 a 10 salários mínimos","Mais de 10 a 20 salários mínimos","Mais de 20 salários mínimos","Sem rendimento"
"Bom Jesus do Tocantins (TO)","2010","2992","1239","485","120","106","34","2","9","997"
"Brasilândia do Tocantins (TO)","2010","1675","725","242","67","36","38","2","8","557"
"Brejinho de Nazaré (TO)","2010","4228","1939","552","98","108","88","20","13","1410"
"Buriti do Tocantins (TO)","2010","7904","3095","739","262","89","98","23","8","3589"
"Cachoeirinha (TO)","2010","1701","637","228","36","18","12","1","-","769"
"Campos Lindos (TO)","2010","6100","1939","646","117","132","42","27","4","3193"
"Cariri do Tocantins (TO)","2010","3163","1053","548","163","65","42","11","5","1277"
"Carmolândia (TO)","2010","1875","714","296","69","59","30","2","2","702"
"Carrasco Bonito (TO)","2010","2809","1259","244","73","24","22","10","-","1177"
"Caseara (TO)","2010","3651","1523","483","179","93","63","21","8","1283"
"Centenário (TO)","2010","2089","897","155","39","27","13","1","5","952"
"Chapada de Areia (TO)","2010","1137","421","201","28","21","9","3","2","452"
"Chapada da Natividade (TO)","2010","2645","1050","285","48","29","29","11","6","1186"
"Colinas do Tocantins (TO)","2010","25317","9508","4081","1114","1010","758","318","87","8441"
"Combinado (TO)","2010","3816","1644","637","132","102","93","23","7","1177"
"Conceição do Tocantins (TO)","2010","3348","1463","396","81","55","52","10","2","1290"
"Couto Magalhães (TO)","2010","4031","1696","442","113","76","47","9","6","1642"
"Cristalândia (TO)","2010","6010","2449","799","210","211","127","51","21","2142"
"Crixás do Tocantins (TO)","2010","1269","542","181","50","34","6","4","2","451"
"Darcinópolis (TO)","2010","4228","1990","459","139","70","31","3","11","1525"
"Dianópolis (TO)","2010","15449","5398","2394","858","616","500","116","75","5492"
"Divinópolis do Tocantins (TO)","2010","5255","2194","806","155","110","122","8","33","1826"
"Dois Irmãos do Tocantins (TO)","2010","5943","2203","616","120","57","36","15","-","2897"
"Dueré (TO)","2010","3790","1621","606","94","105","46","19","21","1276"
"Esperantina (TO)","2010","7320","2834","559","59","48","32","6","-","3783"
"Fátima (TO)","2010","3143","1300","454","110","95","55","15","14","1100"
"Figueirópolis (TO)","2010","4563","1800","813","209","151","117","17","21","1436"
"Filadélfia (TO)","2010","6831","2670","743","151","139","111","13","-","3005"
"Formoso do Araguaia (TO)","2010","15112","5467","2528","662","460","274","56","31","5633"
"Fortaleza do Tabocão (TO)","2010","2009","727","326","65","71","32","1","-","787"
"Goianorte (TO)","2010","4058","1905","472","76","91","47","6","9","1451"
"Goiatins (TO)","2010","9263","3416","903","177","129","67","38","-","4533"
"Guaraí (TO)","2010","19370","7252","3369","944","835","816","192","167","5795"
"Gurupi (TO)","2010","64530","20338","12633","4683","3694","2982","920","416","18865"
"Ipueiras (TO)","2010","1303","559","240","42","10","4","2","-","445"
"Itacajá (TO)","2010","5604","2521","514","153","75","93","5","10","2234"
"Itaguatins (TO)","2010","4795","1966","457","128","58","42","17","3","2124"
"Itapiratins (TO)","2010","2883","1520","300","101","48","57","14","-","842"
"Itaporã do Tocantins (TO)","2010","2015","910","319","63","55","13","8","-","647"
"Jaú do Tocantins (TO)","2010","2891","1124","426","103","57","51","17","7","1107"
"Juarina (TO)","2010","1813","748","203","33","27","7","-","4","790"
"Lagoa da Confusão (TO)","2010","7960","2860","1425","314","234","144","35","4","2944"
"Lagoa do Tocantins (TO)","2010","2641","982","303","69","27","31","5","-","1223"
"Lajeado (TO)","2010","2226","812","409","91","59","73","26","9","749"
"Lavandeira (TO)","2010","1277","591","153","21","22","24","6","-","460"
"Lizarda (TO)","2010","2948","1043","196","44","24","55","13","4","1568"
"Luzinópolis (TO)","2010","2070","866","274","60","35","25","3","3","803"
"Marianópolis do Tocantins (TO)","2010","3520","1574","600","103","94","66","9","11","1064"
"Mateiros (TO)","2010","1689","615","288","73","15","22","4","2","670"
"Maurilândia do Tocantins (TO)","2010","2490","1065","219","43","29","13","-","4","1118"
"Miracema do Tocantins (TO)","2010","16930","5636","3055","770","672","490","102","58","6146"
"Miranorte (TO)","2010","10506","4460","1611","340","309","176","29","9","3572"
"Monte do Carmo (TO)","2010","5417","2203","568","132","103","37","13","11","2350"
"Monte Santo do Tocantins (TO)","2010","1755","717","251","46","13","8","3","-","718"
"Palmeiras do Tocantins (TO)","2010","4630","1788","660","128","150","50","3","-","1851"
"Muricilândia (TO)","2010","2495","929","256","44","20","19","-","-","1227"
"Natividade (TO)","2010","7408","2588","937","237","297","172","65","18","3095"
"Nazaré (TO)","2010","3574","1683","402","56","51","39","5","3","1335"
"Nova Olinda (TO)","2010","8525","3717","1100","273","141","102","32","12","3148"
"Nova Rosalândia (TO)","2010","3116","1151","313","75","60","32","6","4","1475"
"Novo Acordo (TO)","2010","3002","1221","370","101","84","45","20","3","1157"
"Novo Alegre (TO)","2010","1923","825","291","62","69","40","8","4","624"
"Novo Jardim (TO)","2010","1874","810","295","45","39","11","-","-","674"
"Oliveira de Fátima (TO)","2010","835","365","122","22","23","13","1","2","287"
"Palmeirante (TO)","2010","3953","1625","450","73","54","44","9","2","1697"
"Palmeirópolis (TO)","2010","6139","2829","911","202","163","152","28","22","1831"
"Paraíso do Tocantins (TO)","2010","36981","12044","7665","2384","2337","1448","341","237","10525"
"Paranã (TO)","2010","8271","3216","759","141","134","102","31","32","3856"
"Pau D'Arco (TO)","2010","3769","1490","499","185","71","53","16","6","1448"
"Pedro Afonso (TO)","2010","9560","2835","1876","631","604","352","102","24","3135"
"Peixe (TO)","2010","8575","3012","1248","379","258","208","36","44","3391"
"Pequizeiro (TO)","2010","4133","1964","500","117","75","40","-","2","1434"
"Colméia (TO)","2010","7284","3476","1006","295","214","151","19","12","2111"
"Pindorama do Tocantins (TO)","2010","3614","1582","354","70","63","37","14","3","1491"
"Piraquê (TO)","2010","2388","812","393","83","32","8","10","4","1046"
"Pium (TO)","2010","5450","2504","911","183","119","63","27","15","1629"
"Ponte Alta do Bom Jesus (TO)","2010","3736","1499","263","89","77","52","9","9","1739"
"Ponte Alta do Tocantins (TO)","2010","5769","2415","669","179","117","78","6","4","2300"
"Porto Alegre do Tocantins (TO)","2010","2260","853","319","82","37","16","9","-","944"
"Porto Nacional (TO)","2010","40489","14871","6900","2118","1909","1357","544","183","12608"
"Praia Norte (TO)","2010","5857","2414","568","48","68","26","-","3","2731"
"Presidente Kennedy (TO)","2010","2990","1310","386","119","66","27","-","14","1068"
"Pugmil (TO)","2010","1862","738","382","83","48","28","7","1","574"
"Recursolândia (TO)","2010","2849","951","242","28","23","12","10","-","1584"
"Riachinho (TO)","2010","3357","1137","283","39","10","6","-","-","1883"
"Rio da Conceição (TO)","2010","1352","488","173","33","15","16","2","-","625"
"Rio dos Bois (TO)","2010","2092","881","242","67","62","22","2","-","815"
"Rio Sono (TO)","2010","5104","2018","461","71","117","47","6","11","2373"
"Sampaio (TO)","2010","2948","1301","314","78","37","21","6","-","1190"
"Sandolândia (TO)","2010","2740","1070","448","97","71","38","12","-","1003"
"Santa Fé do Araguaia (TO)","2010","5255","2025","633","150","123","93","19","3","2208"
"Santa Maria do Tocantins (TO)","2010","2338","895","387","93","57","32","2","4","867"
"Santa Rita do Tocantins (TO)","2010","1726","583","348","78","31","15","8","4","659"
"Santa Rosa do Tocantins (TO)","2010","3618","1545","402","84","67","35","-","6","1479"
"Santa Tereza do Tocantins (TO)","2010","2035","928","251","82","49","34","12","2","678"
"Santa Terezinha do Tocantins (TO)","2010","2009","935","210","28","45","28","2","2","759"
"São Bento do Tocantins (TO)","2010","3590","1484","458","62","55","54","2","3","1472"
"São Félix do Tocantins (TO)","2010","1103","329","87","29","19","20","-","-","617"
"São Miguel do Tocantins (TO)","2010","8187","3604","975","230","112","36","33","6","3190"
"São Salvador do Tocantins (TO)","2010","2380","736","337","51","63","18","12","3","1159"
"São Sebastião do Tocantins (TO)","2010","3345","1198","206","61","33","22","2","-","1824"
"São Valério (TO)","2010","3596","1504","376","81","83","53","2","8","1488"
"Silvanópolis (TO)","2010","4162","1831","585","93","111","64","12","18","1448"
"Sítio Novo do Tocantins (TO)","2010","7315","2961","530","170","99","53","16","-","3488"
"Sucupira (TO)","2010","1411","560","245","43","23","26","11","-","503"
"Taguatinga (TO)","2010","12333","5091","1201","295","200","230","63","49","5203"
"Taipas do Tocantins (TO)","2010","1554","605","159","21","19","17","4","2","727"
"Talismã (TO)","2010","2134","752","471","75","72","53","9","3","698"
"Palmas (TO)","2010","188631","42592","39547","15569","15102","13596","5144","2557","54525"
"Tocantínia (TO)","2010","5029","1793","483","89","117","100","27","-","2420"
"Tocantinópolis (TO)","2010","18251","7310","2436","794","536","446","123","16","6590"
"Tupirama (TO)","2010","1289","395","252","58","37","18","8","-","520"
"Tupiratins (TO)","2010","1726","516","217","49","57","19","-","3","866"
"Wanderlândia (TO)","2010","8968","3529","1232","296","231","116","26","22","3517"
"Xambioá (TO)","2010","9464","3752","1320","351","247","151","20","23","3599"
"Açailândia (MA)","2010","83056","32671","12018","2880","2342","1602","498","242","30803"
"Afonso Cunha (MA)","2010","4430","1624","277","65","31","14","2","-","2417"
"Água Doce do Maranhão (MA)","2010","9160","3333","656","95","60","16","14","-","4986"
"Alcântara (MA)","2010","17552","7563","1516","227","216","107","5","7","7911"
"Aldeias Altas (MA)","2010","18194","7784","1192","225","115","47","10","12","8809"
"Altamira do Maranhão (MA)","2010","8813","3385","746","68","66","17","-","-","4530"
"Alto Alegre do Maranhão (MA)","2010","19262","8384","1270","199","103","74","10","-","9222"
"Alto Alegre do Pindaré (MA)","2010","23815","9573","1290","253","81","88","-","-","12530"
"Alto Parnaíba (MA)","2010","8462","3308","798","212","153","62","16","38","3876"
"Amapá do Maranhão (MA)","2010","4850","2023","364","79","50","22","-","6","2305"
"Amarante do Maranhão (MA)","2010","28355","12434","2622","553","331","243","61","19","12093"
"Anajatuba (MA)","2010","20534","8379","1647","234","402","136","8","-","9728"
"Anapurus (MA)","2010","10783","4275","778","190","79","67","12","-","5382"
"Apicum-Açu (MA)","2010","11849","6144","968","226","119","60","21","6","4305"
"Araguanã (MA)","2010","10799","4763","630","78","66","18","11","-","5233"
"Araioses (MA)","2010","33762","12469","2153","296","286","148","33","-","18378"
"Arame (MA)","2010","23689","8731","1287","268","142","165","23","16","13057"
"Arari (MA)","2010","23083","9100","2417","782","423","284","38","23","10017"
"Axixá (MA)","2010","9034","4308","712","142","106","58","22","-","3686"
"Bacabal (MA)","2010","80722","38211","9209","2394","1881","1122","376","157","27373"
"Bacabeira (MA)","2010","11799","4687","1327","237","155","91","26","14","5262"
"Bacuri (MA)","2010","13380","6471","1066","120","116","101","15","25","5466"
"Bacurituba (MA)","2010","4262","1740","205","43","18","6","-","-","2250"
"Balsas (MA)","2010","66366","24093","10984","2917","2350","1957","588","336","23141"
"Barão de Grajaú (MA)","2010","14885","5725","1962","431","239","158","29","12","6329"
"Barra do Corda (MA)","2010","66037","28664","5562","1128","1130","685","207","123","28538"
"Barreirinhas (MA)","2010","41092","16191","3616","645","464","242","117","11","19806"
"Belágua (MA)","2010","4677","1439","231","51","52","7","-","-","2896"
"Bela Vista do Maranhão (MA)","2010","9436","4492","815","91","117","30","4","-","3887"
"Benedito Leite (MA)","2010","4528","1721","304","75","29","30","7","4","2358"
"Bequimão (MA)","2010","16642","7231","1067","131","160","48","22","-","7984"
"Bernardo do Mearim (MA)","2010","4889","2487","440","36","49","20","3","-","1854"
"Boa Vista do Gurupi (MA)","2010","5921","2549","543","89","52","30","13","-","2646"
"Bom Jardim (MA)","2010","30068","12967","2024","375","254","172","35","32","14209"
"Bom Jesus das Selvas (MA)","2010","21748","7407","1753","361","176","82","67","45","11857"
"Bom Lugar (MA)","2010","11678","5206","764","78","37","14","5","-","5575"
"Brejo (MA)","2010","25759","9665","1683","329","263","182","67","20","13551"
"Brejo de Areia (MA)","2010","4299","1698","448","56","38","14","-","-","2044"
"Buriti (MA)","2010","20413","7910","1119","215","66","27","62","-","11014"
"Buriti Bravo (MA)","2010","18056","8106","1707","264","189","147","18","-","7624"
"Buriticupu (MA)","2010","49129","19680","4218","852","477","261","79","69","23492"
"Buritirana (MA)","2010","11546","5565","1309","240","97","56","10","5","4264"
"Cachoeira Grande (MA)","2010","6329","2444","288","40","25","4","-","-","3529"
"Cajapió (MA)","2010","8317","3393","460","79","32","12","7","-","4333"
"Cajari (MA)","2010","14079","5213","652","116","105","29","5","-","7960"
"Campestre do Maranhão (MA)","2010","10572","3895","1900","429","261","94","27","17","3948"
"Cândido Mendes (MA)","2010","14485","7323","1133","192","174","76","17","8","5562"
"Cantanhede (MA)","2010","16086","6158","1094","267","146","53","5","11","8352"
"Capinzal do Norte (MA)","2010","8642","3617","644","106","64","77","-","-","4133"
"Carolina (MA)","2010","19298","7785","2365","458","334","340","38","26","7952"
"Carutapera (MA)","2010","17157","7765","1668","238","223","164","20","-","7078"
"Caxias (MA)","2010","124924","57702","13165","2902","2248","1619","381","170","46736"
"Cedral (MA)","2010","8339","4425","576","78","78","54","4","7","3118"
"Central do Maranhão (MA)","2010","6061","2650","639","76","43","32","-","-","2621"
"Centro do Guilherme (MA)","2010","9667","3726","895","120","76","46","13","2","4788"
"Centro Novo do Maranhão (MA)","2010","13128","4464","1580","275","111","55","5","4","6635"
"Chapadinha (MA)","2010","57343","23699","4545","968","714","505","203","56","26654"
"Cidelândia (MA)","2010","10723","4681","1276","245","150","94","14","-","4263"
"Codó (MA)","2010","93352","42607","8771","2022","1332","789","238","77","37516"
"Coelho Neto (MA)","2010","36572","15355","3606","638","477","169","87","9","16232"
"Colinas (MA)","2010","31069","13491","2944","738","390","288","147","71","13002"
"Conceição do Lago-Açu (MA)","2010","10687","5705","889","165","101","24","6","-","3797"
"Coroatá (MA)","2010","48841","21364","3750","617","568","280","80","24","22157"
"Cururupu (MA)","2010","26370","13434","2385","486","264","207","105","41","9448"
"Davinópolis (MA)","2010","9947","4726","1197","193","143","73","-","-","3615"
"Dom Pedro (MA)","2010","18331","8814","1896","465","224","186","33","-","6713"
"Duque Bacelar (MA)","2010","8088","2951","510","117","100","31","8","-","4372"
"Esperantinópolis (MA)","2010","14801","6834","1186","214","137","116","10","32","6272"
"Estreito (MA)","2010","28888","9464","4431","2057","1129","799","163","105","10740"
"Feira Nova do Maranhão (MA)","2010","6399","2384","520","66","48","35","22","-","3325"
"Fernando Falcão (MA)","2010","6931","2608","281","30","18","-","-","-","3995"
"Formosa da Serra Negra (MA)","2010","14072","4724","844","166","86","57","-","8","8185"
"Fortaleza dos Nogueiras (MA)","2010","9327","3471","1131","205","129","115","29","-","4247"
"Fortuna (MA)","2010","11832","4974","1154","294","210","126","11","5","5059"
"Godofredo Viana (MA)","2010","8517","3895","928","176","138","70","20","7","3283"
"Gonçalves Dias (MA)","2010","13949","6295","1232","200","192","117","13","12","5886"
"Governador Archer (MA)","2010","8159","3964","679","130","112","50","28","-","3197"
"Governador Edison Lobão (MA)","2010","12551","5698","1893","324","235","59","74","-","4269"
"Governador Eugênio Barros (MA)","2010","12562","6156","1061","168","156","83","14","18","4907"
"Governador Luiz Rocha (MA)","2010","5854","2423","511","70","47","11","-","3","2789"
"Governador Newton Bello (MA)","2010","9113","4651","804","103","35","28","4","8","3480"
