"Tabela 1685 - Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal"
"Município","Ano","Variável"
"Município","Ano","Número de unidades locais (Unidades)","Número de empresas e outras organizações atuantes (Unidades)","Pessoal ocupado total (Pessoas)","Pessoal ocupado assalariado (Pessoas)","Pessoal assalariado médio (Pessoas)","Salários e outras remunerações (Mil Reais)","Salário médio mensal (Salários mínimos)","Salário médio mensal em reais (Reais)"
"Tucuruí (PA)","2018","1054","1008","12732","11574","11800.57","375457","2.6","2447.45"
"Ulianópolis (PA)","2018","191","188","4333","4114","4042.98","86149","1.7","1639.11"
"Uruará (PA)","2018","343","336","3092","2721","2808.61","61866","1.8","1694.40"
"Vigia (PA)","2018","246","240","2805","2546","2675.97","61021","1.8","1754.10"
"Viseu (PA)","2018","100","91","2885","2781","2643.95","65103","2.0","1894.12"
"Vitória do Xingu (PA)","2018","109","106","4086","3992","3275.93","116831","2.9","2743.35"
"Xinguara (PA)","2018","1071","1057","8229","7368","7556.11","177351","1.9","1805.48"
"Serra do Navio (AP)","2018","30","30","420","398","392.00","10121","2.1","1986.10"
"Amapá (AP)","2018","68","66","679","618","600.65","18483","2.5","2367.09"
"Pedra Branca do Amapari (AP)","2018","76","76","1802","1728","1812.58","77725","3.5","3298.55"
"Calçoene (AP)","2018","81","75","636","563","539.68","12196","1.8","1738.32"
"Cutias (AP)","2018","18","18","418","404","401.28","6945","1.4","1331.37"
"Ferreira Gomes (AP)","2018","52","51","822","770","694.99","28860","3.3","3194.33"
"Itaubal (AP)","2018","25","25","397","374","335.94","7790","1.9","1783.68"
"Laranjal do Jari (AP)","2018","323","318","2771","2452","2562.36","69178","2.2","2076.74"
"Macapá (AP)","2018","6161","5573","118582","112276","111390.16","5895658","4.3","4071.38"
"Mazagão (AP)","2018","68","66","845","786","862.84","21921","2.0","1954.29"
"Oiapoque (AP)","2018","214","209","1996","1768","1795.62","39796","1.8","1704.83"
"Porto Grande (AP)","2018","140","139","2193","2061","2024.92","47267","1.9","1795.58"
"Pracuúba (AP)","2018","17","17","293","284","289.80","5975","1.7","1586.06"
"Santana (AP)","2018","921","869","11281","10369","10171.21","265506","2.1","2007.98"
"Tartarugalzinho (AP)","2018","56","55","1314","1258","1043.49","20292","1.6","1495.90"
"Vitória do Jari (AP)","2018","71","69","669","612","866.14","22276","2.1","1978.40"
"Abreulândia (TO)","2018","30","29","213","189","223.91","4789","1.7","1645.36"
"Aguiarnópolis (TO)","2018","57","57","1170","1121","1250.11","23912","1.5","1471.40"
"Aliança do Tocantins (TO)","2018","97","94","505","427","431.45","9148","1.7","1631.02"
"Almas (TO)","2018","90","86","703","614","677.63","12841","1.5","1457.72"
"Alvorada (TO)","2018","293","289","1781","1509","1461.67","31597","1.7","1662.84"
"Ananás (TO)","2018","137","132","854","744","809.79","15085","1.5","1432.98"
"Angico (TO)","2018","41","41","312","281","261.51","5065","1.6","1489.84"
"Aparecida do Rio Negro (TO)","2018","64","64","510","434","418.58","8982","1.7","1650.60"
"Aragominas (TO)","2018","28","27","271","252","286.03","6418","1.8","1725.91"
"Araguacema (TO)","2018","59","56","429","370","488.38","9506","1.6","1497.22"
"Araguaçu (TO)","2018","167","160","911","792","799.87","17067","1.7","1641.28"
"Araguaína (TO)","2018","3889","3725","36571","32301","32186.22","845745","2.1","2021.28"
"Araguanã (TO)","2018","41","41","297","265","313.73","5636","1.4","1381.77"
"Araguatins (TO)","2018","264","257","2099","1904","2079.79","52080","2.0","1926.25"
"Arapoema (TO)","2018","85","83","2096","2021","2684.52","90303","2.7","2587.56"
"Arraias (TO)","2018","88","85","1345","1274","1425.88","56511","3.2","3048.66"
"Augustinópolis (TO)","2018","279","271","1756","1479","1417.53","31023","1.8","1683.46"
"Aurora do Tocantins (TO)","2018","30","29","266","242","234.36","4077","1.4","1338.29"
"Axixá do Tocantins (TO)","2018","61","60","745","692","732.16","20389","2.2","2142.12"
"Babaçulândia (TO)","2018","49","49","840","800","836.03","16504","1.6","1518.54"
"Bandeirantes do Tocantins (TO)","2018","42","42","424","371","426.19","9546","1.8","1723.01"
"Barra do Ouro (TO)","2018","31","30","334","313","365.59","6670","1.5","1403.47"
"Barrolândia (TO)","2018","70","69","597","538","491.11","9711","1.6","1521.05"
"Bernardo Sayão (TO)","2018","39","38","405","368","427.78","9838","1.9","1769.12"
"Bom Jesus do Tocantins (TO)","2018","31","31","263","240","278.90","5829","1.7","1607.76"
"Brasilândia do Tocantins (TO)","2018","24","24","311","289","274.55","5544","1.6","1553.43"
"Brejinho de Nazaré (TO)","2018","68","66","544","469","510.44","10551","1.7","1590.05"
"Buriti do Tocantins (TO)","2018","56","55","576","521","604.85","10275","1.4","1306.77"
"Cachoeirinha (TO)","2018","18","18","219","207","207.54","3692","1.4","1368.33"
"Campos Lindos (TO)","2018","78","75","826","767","836.99","18584","1.8","1707.92"
"Cariri do Tocantins (TO)","2018","68","64","887","840","815.53","20412","2.0","1925.31"
"Carmolândia (TO)","2018","19","19","285","276","274.44","3777","1.1","1058.73"
"Carrasco Bonito (TO)","2018","14","14","304","291","282.55","4929","1.4","1341.88"
"Caseara (TO)","2018","47","46","603","556","659.74","16698","2.0","1946.97"
"Centenário (TO)","2018","20","20","214","203","217.98","4126","1.5","1456.00"
"Chapada de Areia (TO)","2018","11","11","192","181","176.51","3182","1.5","1386.89"
"Chapada da Natividade (TO)","2018","23","23","324","304","312.39","5985","1.5","1473.64"
"Colinas do Tocantins (TO)","2018","647","632","4158","3477","3818.82","96171","2.0","1937.18"
"Combinado (TO)","2018","77","76","445","371","356.34","7393","1.7","1595.95"
"Conceição do Tocantins (TO)","2018","53","53","304","251","359.49","6641","1.5","1421.05"
"Couto Magalhães (TO)","2018","71","70","572","496","469.20","11803","2.0","1935.05"
"Cristalândia (TO)","2018","126","122","687","578","565.65","11226","1.6","1526.60"
"Crixás do Tocantins (TO)","2018","15","15","218","211","208.56","4158","1.6","1533.61"
"Darcinópolis (TO)","2018","64","63","799","741","789.69","15528","1.6","1512.59"
"Dianópolis (TO)","2018","385","371","2018","1647","1723.42","45653","2.1","2037.65"
"Divinópolis do Tocantins (TO)","2018","115","113","855","728","672.73","13694","1.6","1565.88"
"Dois Irmãos do Tocantins (TO)","2018","67","65","357","295","355.21","7346","1.7","1590.88"
"Dueré (TO)","2018","61","60","490","444","454.57","9459","1.7","1600.64"
"Esperantina (TO)","2018","29","29","467","445","553.38","10268","1.5","1427.29"
"Fátima (TO)","2018","65","62","391","325","382.25","7536","1.6","1516.50"
"Figueirópolis (TO)","2018","73","72","527","474","509.18","11205","1.8","1692.75"
"Filadélfia (TO)","2018","57","55","522","472","514.39","10607","1.7","1586.20"
"Formoso do Araguaia (TO)","2018","419","408","2602","2119","2237.91","52525","1.9","1805.41"
"Fortaleza do Tabocão (TO)","2018","56","54","640","596","605.23","14323","1.9","1820.35"
"Goianorte (TO)","2018","53","52","338","289","565.56","9333","1.3","1269.38"
"Goiatins (TO)","2018","94","93","626","526","654.89","15536","1.9","1824.89"
"Guaraí (TO)","2018","539","522","3474","2879","2909.45","74113","2.1","1959.48"
"Gurupi (TO)","2018","2412","2335","16972","14412","14339.20","380676","2.1","2042.15"
"Ipueiras (TO)","2018","19","19","243","231","227.37","4114","1.5","1391.84"
"Itacajá (TO)","2018","60","58","497","440","480.54","10202","1.7","1633.11"
"Itaguatins (TO)","2018","37","36","370","338","321.83","7649","1.9","1828.21"
"Itapiratins (TO)","2018","33","32","246","217","256.68","5535","1.7","1658.79"
"Itaporã do Tocantins (TO)","2018","26","26","239","213","209.97","3948","1.5","1446.52"
"Jaú do Tocantins (TO)","2018","47","43","328","279","280.67","6142","1.8","1683.46"
"Juarina (TO)","2018","23","23","223","205","206.96","4086","1.6","1518.76"
"Lagoa da Confusão (TO)","2018","288","283","1816","1560","1642.64","44907","2.2","2102.94"
"Lagoa do Tocantins (TO)","2018","31","30","276","251","247.91","4704","1.5","1459.66"
"Lajeado (TO)","2018","88","88","833","742","747.38","16504","1.8","1698.68"
"Lavandeira (TO)","2018","10","10","188","184","180.31","2853","1.3","1217.33"
"Lizarda (TO)","2018","26","26","204","184","204.59","4262","1.7","1602.33"
"Luzinópolis (TO)","2018","24","24","270","249","252.47","4811","1.5","1465.86"
"Marianópolis do Tocantins (TO)","2018","69","69","562","511","511.21","11227","1.8","1689.34"
"Mateiros (TO)","2018","38","37","497","476","406.45","6682","1.3","1264.52"
"Maurilândia do Tocantins (TO)","2018","17","16","253","240","265.42","5651","1.7","1637.70"
"Miracema do Tocantins (TO)","2018","324","314","2200","1880","2056.81","53157","2.1","1988.03"
"Miranorte (TO)","2018","225","220","1489","1238","1265.83","27761","1.8","1687.00"
"Monte do Carmo (TO)","2018","49","46","440","406","386.79","7821","1.6","1555.44"
"Monte Santo do Tocantins (TO)","2018","22","22","194","181","217.35","4353","1.6","1540.64"
"Palmeiras do Tocantins (TO)","2018","47","47","347","297","327.67","6526","1.6","1532.00"
"Muricilândia (TO)","2018","24","24","317","299","304.36","5327","1.4","1346.30"
"Natividade (TO)","2018","144","143","863","733","716.51","16657","1.9","1788.25"
"Nazaré (TO)","2018","31","30","271","249","268.58","4633","1.4","1326.90"
"Nova Olinda (TO)","2018","120","119","1423","1306","1351.99","27060","1.6","1539.62"
"Nova Rosalândia (TO)","2018","32","30","261","235","245.45","5219","1.7","1635.53"
"Novo Acordo (TO)","2018","59","59","540","484","426.92","7674","1.4","1382.77"
"Novo Alegre (TO)","2018","27","27","207","185","180.71","3128","1.4","1331.68"
"Novo Jardim (TO)","2018","21","21","259","239","238.59","5469","1.8","1763.36"
"Oliveira de Fátima (TO)","2018","17","17","163","153","174.50","3064","1.4","1350.61"
"Palmeirante (TO)","2018","43","43","324","287","423.57","9287","1.8","1686.58"
"Palmeirópolis (TO)","2018","150","149","738","570","704.73","14708","1.7","1605.38"
"Paraíso do Tocantins (TO)","2018","1374","1343","10036","8378","8771.07","200806","1.8","1761.09"
"Paranã (TO)","2018","87","85","778","702","742.94","15250","1.7","1579.00"
"Pau D'Arco (TO)","2018","47","47","364","324","340.57","6470","1.5","1461.30"
"Pedro Afonso (TO)","2018","326","320","2607","2245","2454.11","76312","2.5","2391.96"
"Peixe (TO)","2018","135","134","1021","883","920.05","22989","2.0","1922.09"
"Pequizeiro (TO)","2018","46","45","342","303","373.15","7163","1.5","1476.57"
"Colméia (TO)","2018","157","154","855","714","844.01","17756","1.7","1618.26"
"Pindorama do Tocantins (TO)","2018","36","35","320","286","300.14","6221","1.7","1594.26"
"Piraquê (TO)","2018","21","20","292","282","353.01","7466","1.7","1626.79"
"Pium (TO)","2018","69","68","619","548","654.03","13120","1.6","1543.15"
"Ponte Alta do Bom Jesus (TO)","2018","39","37","317","282","260.39","4254","1.3","1256.72"
"Ponte Alta do Tocantins (TO)","2018","67","65","510","444","444.34","9145","1.7","1583.20"
"Porto Alegre do Tocantins (TO)","2018","26","26","269","241","245.11","4482","1.5","1406.48"
"Porto Nacional (TO)","2018","1327","1276","10269","8862","9530.87","260343","2.2","2101.21"
"Praia Norte (TO)","2018","40","39","303","263","264.24","5341","1.6","1554.91"
"Presidente Kennedy (TO)","2018","47","46","341","302","293.36","5218","1.4","1368.32"
"Pugmil (TO)","2018","28","28","376","335","324.12","6455","1.6","1532.01"
"Recursolândia (TO)","2018","35","34","261","236","257.74","5596","1.8","1670.23"
"Riachinho (TO)","2018","27","27","188","166","164.95","2757","1.3","1285.69"
"Rio da Conceição (TO)","2018","13","13","268","255","253.30","4614","1.5","1401.13"
"Rio dos Bois (TO)","2018","15","15","258","245","231.62","4004","1.4","1329.80"
"Rio Sono (TO)","2018","62","59","369","319","342.65","6893","1.6","1547.37"
"Sampaio (TO)","2018","20","20","262","243","228.95","4389","1.5","1474.54"
"Sandolândia (TO)","2018","43","42","364","342","338.87","5480","1.3","1243.92"
"Santa Fé do Araguaia (TO)","2018","86","84","565","494","503.50","12053","1.9","1841.42"
"Santa Maria do Tocantins (TO)","2018","34","34","242","212","226.85","4832","1.7","1638.36"
"Santa Rita do Tocantins (TO)","2018","34","34","299","276","285.26","5639","1.6","1520.57"
"Santa Rosa do Tocantins (TO)","2018","55","55","435","388","440.78","8804","1.6","1536.43"
"Santa Tereza do Tocantins (TO)","2018","34","32","264","232","222.21","4327","1.6","1497.99"
"Santa Terezinha do Tocantins (TO)","2018","25","25","185","162","180.23","3460","1.5","1476.67"
"São Bento do Tocantins (TO)","2018","36","36","433","416","535.50","10881","1.6","1563.10"
"São Félix do Tocantins (TO)","2018","19","19","190","178","181.99","3709","1.6","1567.73"
"São Miguel do Tocantins (TO)","2018","52","52","671","627","617.47","12687","1.7","1580.54"
"São Salvador do Tocantins (TO)","2018","22","22","266","256","285.35","4967","1.4","1339.08"
"São Sebastião do Tocantins (TO)","2018","20","20","293","284","338.66","6211","1.5","1410.66"
"São Valério (TO)","2018","54","52","463","416","421.84","8050","1.5","1467.88"
"Silvanópolis (TO)","2018","85","82","579","498","498.09","10959","1.8","1692.46"
"Sítio Novo do Tocantins (TO)","2018","60","59","890","828","817.40","15224","1.5","1432.68"
"Sucupira (TO)","2018","17","17","227","219","217.85","3308","1.2","1167.91"
"Taguatinga (TO)","2018","195","188","1175","970","1032.33","25249","2.0","1881.43"
"Taipas do Tocantins (TO)","2018","29","29","234","215","211.07","3639","1.4","1326.16"
"Talismã (TO)","2018","53","53","382","343","335.52","7937","1.9","1819.65"
"Palmas (TO)","2018","8925","8490","140926","130865","132656.83","6367650","3.9","3692.38"
"Tocantínia (TO)","2018","64","63","439","379","431.11","8768","1.6","1564.42"
"Tocantinópolis (TO)","2018","279","273","2256","2004","2108.85","43991","1.7","1604.64"
"Tupirama (TO)","2018","20","20","159","151","216.51","4385","1.6","1557.98"
"Tupiratins (TO)","2018","21","21","270","263","260.73","4592","1.4","1354.67"
"Wanderlândia (TO)","2018","107","107","760","677","721.42","16765","1.9","1787.60"
"Xambioá (TO)","2018","119","118","1371","1266","1256.72","31902","2.0","1952.69"
"Açailândia (MA)","2018","1443","1371","16398","14822","15055.90","400051","2.1","2043.92"
"Afonso Cunha (MA)","2018","15","15","273","263","263.55","5933","1.8","1731.76"
"Água Doce do Maranhão (MA)","2018","53","53","532","462","465.31","11108","1.9","1836.29"
"Alcântara (MA)","2018","128","128","2137","2050","2061.62","80172","3.1","2991.36"
"Aldeias Altas (MA)","2018","61","60","1268","1217","1656.37","36961","1.8","1716.49"
"Altamira do Maranhão (MA)","2018","22","22","303","283","278.64","6270","1.8","1730.88"
"Alto Alegre do Maranhão (MA)","2018","143","140","1213","1065","1083.90","19144","1.4","1358.62"
"Alto Alegre do Pindaré (MA)","2018","66","66","1045","974","963.93","23864","2.0","1904.40"
"Alto Parnaíba (MA)","2018","136","129","940","802","895.46","19986","1.8","1716.85"
"Amapá do Maranhão (MA)","2018","30","30","308","281","284.50","6761","1.9","1827.98"
"Amarante do Maranhão (MA)","2018","170","167","2064","1918","1897.38","39281","1.7","1592.52"
"Anajatuba (MA)","2018","83","83","835","761","766.91","21337","2.2","2140.21"
"Anapurus (MA)","2018","89","89","1166","1086","1034.52","22377","1.7","1663.86"
"Apicum-Açu (MA)","2018","91","90","625","529","530.28","10445","1.6","1515.20"
"Araguanã (MA)","2018","30","30","271","247","246.84","6051","2.0","1885.60"
"Araioses (MA)","2018","173","173","2207","2016","2025.98","47821","1.9","1815.67"
"Arame (MA)","2018","104","103","840","732","734.05","15908","1.7","1667.00"
"Arari (MA)","2018","260","259","1717","1482","1635.03","38101","1.9","1792.55"
"Axixá (MA)","2018","51","51","571","522","518.59","10876","1.7","1613.23"
"Bacabal (MA)","2018","1135","1105","9608","8358","8127.28","181946","1.8","1722.09"
"Bacabeira (MA)","2018","135","130","1585","1421","1567.67","36695","1.9","1800.54"
"Bacuri (MA)","2018","70","70","938","835","834.66","20500","2.0","1889.34"
"Bacurituba (MA)","2018","16","16","305","292","310.91","6184","1.6","1530.12"
"Balsas (MA)","2018","2198","2136","18726","16281","16226.70","426073","2.1","2019.81"
"Barão de Grajaú (MA)","2018","173","171","1493","1291","1245.83","22967","1.5","1418.09"
"Barra do Corda (MA)","2018","721","709","5404","4645","4572.36","111113","2.0","1869.30"
"Barreirinhas (MA)","2018","524","514","4391","3928","3640.05","86654","1.9","1831.21"
"Belágua (MA)","2018","27","27","529","516","525.88","12644","1.9","1849.50"
"Bela Vista do Maranhão (MA)","2018","51","50","401","353","324.26","8416","2.1","1996.57"
"Benedito Leite (MA)","2018","32","31","309","275","262.49","5553","1.7","1627.33"
"Bequimão (MA)","2018","68","67","996","932","914.93","17453","1.5","1467.33"
"Bernardo do Mearim (MA)","2018","46","45","235","191","190.73","4485","1.9","1809.01"
"Boa Vista do Gurupi (MA)","2018","40","40","474","440","513.24","10001","1.6","1498.97"
"Bom Jardim (MA)","2018","206","201","1702","1559","1541.30","33638","1.8","1678.80"
"Bom Jesus das Selvas (MA)","2018","238","236","1485","1259","1278.07","27640","1.7","1663.58"
"Bom Lugar (MA)","2018","37","37","440","407","409.32","9520","1.9","1789.13"
"Brejo (MA)","2018","252","246","1759","1505","1508.12","34583","1.8","1763.92"
"Brejo de Areia (MA)","2018","18","17","260","245","245.67","6339","2.1","1984.74"
"Buriti (MA)","2018","130","128","1092","977","992.96","32064","2.6","2483.92"
"Buriti Bravo (MA)","2018","142","140","626","485","476.02","10814","1.8","1747.46"
"Buriticupu (MA)","2018","515","509","3374","2925","3835.03","81467","1.7","1634.06"
"Buritirana (MA)","2018","36","36","497","463","463.59","12810","2.2","2125.58"
"Cachoeira Grande (MA)","2018","16","16","342","330","330.51","7944","1.9","1849.00"
"Cajapió (MA)","2018","25","25","318","299","302.13","6393","1.7","1627.68"
"Cajari (MA)","2018","32","32","742","716","709.48","13538","1.5","1467.85"
"Campestre do Maranhão (MA)","2018","114","113","1267","1151","1931.17","44340","1.9","1766.18"
"Cândido Mendes (MA)","2018","64","64","733","678","692.87","17195","2.0","1909.04"
"Cantanhede (MA)","2018","106","106","915","815","801.91","24678","2.5","2367.28"
"Capinzal do Norte (MA)","2018","91","90","539","443","433.13","10934","2.0","1941.93"
"Carolina (MA)","2018","278","268","2968","2733","2903.77","58427","1.6","1547.77"
"Carutapera (MA)","2018","88","87","1563","1488","1654.74","37872","1.8","1760.52"
"Caxias (MA)","2018","1713","1657","16792","14932","14801.31","293170","1.6","1523.62"
"Cedral (MA)","2018","45","45","360","331","330.86","7431","1.8","1727.78"
"Central do Maranhão (MA)","2018","31","31","319","302","279.88","6352","1.8","1745.86"
"Centro do Guilherme (MA)","2018","47","47","410","374","333.91","6349","1.5","1462.55"
"Centro Novo do Maranhão (MA)","2018","66","65","675","599","562.93","13702","2.0","1872.34"
"Chapadinha (MA)","2018","828","804","5489","4626","4415.15","108990","2.0","1898.88"
"Cidelândia (MA)","2018","74","74","1069","993","940.41","32449","2.8","2654.22"
"Codó (MA)","2018","934","901","9758","8691","8395.07","184853","1.8","1693.79"
"Coelho Neto (MA)","2018","332","323","3776","3437","4114.43","98724","1.9","1845.73"
"Colinas (MA)","2018","339","338","2776","2416","2350.72","46354","1.6","1516.85"
"Conceição do Lago-Açu (MA)","2018","23","23","894","877","874.29","22473","2.1","1977.21"
"Coroatá (MA)","2018","496","481","3559","3112","3039.85","63024","1.7","1594.82"
"Cururupu (MA)","2018","188","188","1512","1322","1325.74","33273","2.0","1930.57"
"Davinópolis (MA)","2018","61","60","2078","2024","2017.86","43918","1.8","1674.20"
"Dom Pedro (MA)","2018","345","341","1629","1290","1333.40","27806","1.7","1604.10"
"Duque Bacelar (MA)","2018","27","27","507","488","696.96","16159","1.9","1783.45"
